Kod obce,Název obce,Kod pověřené obce,Název pověřené  obce,Kod okresu/městského obvodu,Typ obce,Kod obce ČSÚ,pcd úřadu
1458,Abertamy                                     ,3435,Ostrov                                       ,3403,M,554979,1222937
1467,Adamov,3301,České Budějovice                             ,3301,O,535826,93210
1466,Adamov,3701,Blansko                                      ,3701,M,581291,534291
1468,Adamov,3245,Čáslav,3205,O,531367,1470062
23725,Adršpach,3645,Broumov                                      ,3605,O,547786,1796903
1482,Albrechtice,3837,Havířov                                      ,3803,O,598925,1246357
1485,Albrechtice,3677,Lanškroun                                    ,3611,O,547981,262406
1488,Albrechtice nad Orlicí,3656,Kostelec nad Orlicí                          ,3607,O,576077,3574714
1489,Albrechtice nad Vltavou,3305,Písek                                        ,3305,O,549258,2078300
1493,Albrechtice v Jizerských horách,3540,Tanvald                                      ,3504,O,563528,1121381
1481,Albrechtičky,3840,Bílovec                                      ,3804,O,568741,1910196
1500,Alojzov,3709,Prostějov                                    ,3709,O,506761,2599536
1509,Andělská Hora                                ,3801,Bruntál                                      ,3801,M,551929,742428
1508,Andělská Hora,3403,Karlovy Vary                                 ,3403,O,538001,1223335
1515,Anenská Studánka,3677,Lanškroun                                    ,3611,O,573426,262457
1526,Archlebov,3750,Kyjov                                        ,3706,O,586030,1020757
1530,Arneštovice,3304,Pelhřimov,3304,O,509388,2187900
1536,Arnolec,3707,Jihlava,3707,O,586854,1166727
1537,Arnoltice,3502,Děčín,3502,O,562343,765265
1457,Aš,3431,Aš                                           ,3402,M,554499,132791
1875,Babice,3306,Prachatice                                   ,3306,O,537241,2337494
1873,Babice,3630,Nový Bydžov                                  ,3602,O,569828,1065417
1869,Babice,3770,Moravské Budějovice,3710,O,590274,2941547
1867,Babice,3846,Šternberk                                    ,3805,O,552356,1976896
1868,Babice,3266,Říčany,3209,O,538043,2357100
1870,Babice,3711,Uherské Hradiště,3711,O,592013,3607900
1879,Babice nad Svitavou,3738,Šlapanice                                    ,3703,O,582794,699289
1880,Babice u Rosic,3737,Rosice                                       ,3703,O,582808,699385
1892,Babylon,3401,Domažlice,3401,O,553433,820527
1833,Bačalky,3604,Jičín                                        ,3604,O,553701,360410792
1834,Bačetín,3655,Dobruška                                     ,3607,O,576085,2724583
1835,Bačice,3710,Třebíč,3710,O,590282,2941407
1837,Bačkov,3601,Havlíčkův Brod,3601,O,546194,993294
1840,Bačkovice,3770,Moravské Budějovice,3710,O,544833,2941500
1909,Bakov nad Jizerou,3207,Mladá Boleslav,3207,M,535427,1754641
1914,Baliny,3792,Velké Meziříčí,3714,O,595217,292829
1916,Balkova Lhota,3308,Tábor                                        ,3308,O,563251,2914684
1921,Banín,3609,Svitavy,3609,O,572560,2887746
1932,Bantice,3713,Znojmo                                       ,3713,O,593729,3319190
1939,Barchov,3630,Nový Bydžov                                  ,3602,O,569836,1065548
1940,Barchov,3606,Pardubice,3606,O,574724,2156519
1941,Barchovice,3204,Kolín,3204,O,533173,1382736
1953,Bartošovice,3804,Nový Jičín                                   ,3804,O,599212,1911674
1954,Bartošovice v Orlických horách,3607,Rychnov nad Kněžnou                          ,3607,O,576093,2724617
1955,Bartoušov,3601,Havlíčkův Brod,3601,O,548260,3672710
1847,Bařice-Velké Těšany,3708,Kroměříž,3708,O,588300,1440835
1849,Baška,3802,Frýdek-Místek                                ,3802,O,598011,868576
1853,Bašnice,3640,Hořice                                       ,3604,O,572667,1142511
1848,Bašť,3265,Brandýs nad Labem-Stará Boleslav,3209,O,538051,2356840
1962,Batelov                                      ,3707,Jihlava,3707,T,586862,1167254
1961,Batňovice,3610,Trutnov                                      ,3610,O,579041,3163784
1965,Bavorov,3356,Vodňany                                      ,3307,M,550809,2859921
1967,Bavory,3741,Mikulov                                      ,3704,O,584304,396947
1968,Bavoryně,3202,Beroun,3202,O,534421,507219
1552,Bácovice,3304,Pelhřimov,3304,O,561118,2187936
1556,Bánov,3775,Uherský Brod,3711,O,592021,371105507
1550,Báňovice,3335,Dačice                                       ,3303,O,562726,1195395
1970,Bdeněves,3456,Nýřany,3407,O,566756,2252411
1969,Bdín,3212,Rakovník,3212,O,565423,2629603
1971,Bečice,3326,Týn nad Vltavou                              ,3301,O,536156,93656
1972,Bečice,3308,Tábor                                        ,3308,O,563366,2914751
1974,Bečov,3508,Most,3508,O,567043,1777380
1977,Bečov nad Teplou,3403,Karlovy Vary                                 ,3403,M,554995,1223556
1978,Bečváry,3204,Kolín,3204,O,533181,1382879
2019,Bedihošť,3709,Prostějov                                    ,3709,O,589268,2600045
2022,Bednárec,3303,Jindřichův Hradec                            ,3303,O,562548,1196029
2021,Bednáreček,3303,Jindřichův Hradec                            ,3303,O,561053,1195924
2009,Bedřichov,3504,Jablonec nad Nisou                           ,3504,O,563536,1121903
2008,Bedřichov,3725,Boskovice                                    ,3701,O,581313,535560
1999,Bechlín,3551,Roudnice nad Labem,3506,O,564575,1597708
2003,Bechyně,3308,Tábor                                        ,3308,M,552054,2914993
2052,Benátky,3602,Hradec Králové                               ,3602,O,569861,1065618
2051,Benátky,3665,Litomyšl                                     ,3609,O,577774,2887892
23692,Benátky nad Jizerou,3207,Mladá Boleslav,3207,M,535451,1755261
2068,Benecko,3660,Jilemnice                                    ,3608,O,576981,2745090
2057,Benešov,3201,Benešov,3201,M,529303,477591
2058,Benešov,3725,Boskovice                                    ,3701,O,581330,535738
2061,Benešov nad Černou,3330,Kaplice                                      ,3302,O,545406,118552
2062,Benešov nad Ploučnicí,3502,Děčín,3502,M,562351,765597
2063,Benešov u Semil,3608,Semily                                       ,3608,O,576999,2745854
2065,Benešovice                                   ,3470,Stříbro,3410,O,560723,341005741
2070,Benetice,3710,Třebíč,3710,O,590304,2941608
1984,Beňov,3808,Přerov                                       ,3808,O,512281,2129097
2089,Bernardov,3205,Kutná Hora,3205,O,531111,1470556
2091,Bernartice,3345,Milevsko                                     ,3305,O,549266,2078465
2090,Bernartice,3811,Jeseník                                      ,3811,O,524891,204278
2095,Bernartice,3225,Vlašim,3201,O,532568,479112
2093,Bernartice,3610,Trutnov                                      ,3610,O,579050,3164155
2096,Bernartice nad Odrou,3804,Nový Jičín                                   ,3804,O,568481,1912068
20519,Beroun,3202,Beroun,3202,M,531057,528736
1989,Beřovice,3235,Slaný,3203,O,532088,1279621
2105,Besednice                                    ,3330,Kaplice                                      ,3302,T,545414,118749
2111,Bezděčí u Trnávky,3666,Moravská Třebová,3609,O,574309,2887975
19707,Bezdědovice,3355,Blatná                                       ,3307,O,598895,330705816
2142,Bezděkov,3625,Chotěboř,3601,O,548430,993712
2123,Bezděkov,3404,Klatovy,3404,O,555801,1313940
2124,Bezděkov,3606,Pardubice,3606,O,574741,2156569
2132,Bezděkov,3408,Rokycany,3408,O,541095,2706929
2139,Bezděkov nad Metují,3605,Náchod                                       ,3605,O,573884,1793791
2140,Bezděkov pod Třemšínem,3211,Příbram,3211,O,529672,2099840
2144,Bezděz,3501,Česká Lípa                                   ,3501,O,561398,63248
2145,Bezdružice                                   ,3470,Stříbro,3410,M,560740,2970781
2148,Bezkov,3713,Znojmo                                       ,3713,O,593745,3774302
2149,Bezměrov,3708,Kroměříž,3708,O,588326,1441060
