Kod ,Pověřená obec,Kod úřadu ČSÚ,Typ úřadu,Kod okresu
3431,Aš                                           ,4101,N,3402
3201,Benešov,2101,N,3201
3202,Beroun,2102,N,3202
3565,Bílina,4201,N,3509
3840,Bílovec                                      ,8101,N,3804
3701,Blansko                                      ,6201,N,3701
3355,Blatná                                       ,3101,N,3307
3450,Blovice,3201,N,3406
3835,Bohumín                                      ,8102,N,3803
3725,Boskovice                                    ,6202,N,3701
3265,Brandýs nad Labem-Stará Boleslav,2103,N,3209
3730,Brno                                         ,6203,N,3702
3645,Broumov                                      ,5201,N,3605
3801,Bruntál                                      ,8103,N,3801
3704,Břeclav                                      ,6204,N,3704
3780,Bučovice                                     ,6205,N,3712
3790,Bystřice nad Pernštejnem,6101,N,3714
3760,Bystřice pod Hostýnem,7201,N,3708
3245,Čáslav,2104,N,3205
3270,Černošice,2105,N,3210
3501,Česká Lípa                                   ,5101,N,3501
3675,Česká Třebová                                ,5301,N,3611
3301,České Budějovice                             ,3102,N,3301
3240,Český Brod,2106,N,3204
3302,Český Krumlov                                ,3103,N,3302
3836,Český Těšín                                  ,8104,N,3803
3000,ČR,,R,0
3335,Dačice                                       ,3104,N,3303
3502,Děčín,4202,N,3502
3655,Dobruška                                     ,5202,N,3607
3275,Dobříš,2107,N,3211
3401,Domažlice,3202,N,3401
3670,Dvůr Králové nad Labem                       ,5203,N,3610
0,fiktivní úřad,,F,0
3841,Frenštát pod Radhoštěm                       ,8105,N,3804
3802,Frýdek-Místek                                ,8106,N,3802
3545,Frýdlant                                     ,5102,N,3505
3830,Frýdlant nad Ostravicí                       ,8107,N,3802
3837,Havířov                                      ,8108,N,3803
3601,Havlíčkův Brod,6102,N,3601
14,Hlavní Město Praha                           ,,K,3100
3635,Hlinsko                                      ,5302,N,3603
3850,Hlučín                                       ,8109,N,3806
3706,Hodonín                                      ,6206,N,3706
3761,Holešov,7202,N,3708
3650,Holice                                       ,5303,N,3606
3440,Horažďovice,3203,N,3404
3425,Horšovský Týn,3204,N,3401
3640,Hořice                                       ,5204,N,3604
3230,Hořovice,2108,N,3202
3602,Hradec Králové                               ,5205,N,3602
3860,Hranice                                      ,7101,N,3808
3340,Humpolec,6103,N,3304
3740,Hustopeče                                    ,6207,N,3704
3402,Cheb                                         ,4102,N,3402
3503,Chomutov,4203,N,3503
3625,Chotěboř,6104,N,3601
3603,Chrudim                                      ,5304,N,3603
3735,Ivančice                                     ,6208,N,3703
3504,Jablonec nad Nisou                           ,5103,N,3504
3831,Jablunkov                                    ,8110,N,3802
3646,Jaroměř                                      ,5206,N,3605
3811,Jeseník                                      ,7102,N,3811
3604,Jičín                                        ,5207,N,3604
3707,Jihlava,6105,N,3707
1,Jihočeský kraj                               ,,K,3301
2,Jihomoravský kraj                            ,,K,3702
3660,Jilemnice                                    ,5104,N,3608
3303,Jindřichův Hradec                            ,3105,N,3303
3535,Kadaň,4204,N,3503
3330,Kaplice                                      ,3106,N,3302
3,Karlovarský kraj                             ,,K,3403
3403,Karlovy Vary                                 ,4103,N,3403
3803,Karviná                                      ,8111,N,3803
3203,Kladno,2109,N,3203
3404,Klatovy,3205,N,3404
3204,Kolín,2110,N,3204
3765,Konice                                       ,7103,N,3709
3842,Kopřivnice                                   ,8112,N,3804
3656,Kostelec nad Orlicí                          ,5208,N,3607
3455,Kralovice,3206,N,3407
3250,Kralupy nad Vltavou,2111,N,3206
3465,Kraslice                                     ,4104,N,3409
3851,Kravaře                                      ,8113,N,3806
3676,Králíky                                      ,5305,N,3611
4,Královéhradecký kraj                         ,,K,3602
3825,Krnov                                        ,8114,N,3801
3708,Kroměříž,7203,N,3708
3736,Kuřim                                        ,6209,N,3703
3205,Kutná Hora,2112,N,3205
3750,Kyjov                                        ,6210,N,3706
3677,Lanškroun                                    ,5306,N,3611
3505,Liberec                                      ,5105,N,3505
5,Liberecký kraj                               ,,K,3505
3861,Lipník nad Bečvou                            ,7104,N,3808
3506,Litoměřice,4205,N,3506
3665,Litomyšl                                     ,5307,N,3609
3845,Litovel                                      ,7105,N,3805
3560,Litvínov,4206,N,3508
3507,Louny,4207,N,3507
3550,Lovosice,4208,N,3506
3745,Luhačovice,7204,N,3705
3260,Lysá nad Labem,2113,N,3208
3430,Mariánské Lázně                              ,4105,N,3402
3206,Mělník,2114,N,3206
3741,Mikulov                                      ,6211,N,3704
3345,Milevsko                                     ,3107,N,3305
3207,Mladá Boleslav,2115,N,3207
3255,Mnichovo Hradiště,2116,N,3207
3865,Mohelnice                                    ,7106,N,3809
3666,Moravská Třebová,5308,N,3609
3770,Moravské Budějovice,6106,N,3710
6,Moravskoslezský kraj                         ,,K,3807
3785,Moravský Krumlov                             ,6212,N,3713
3508,Most,4209,N,3508
3605,Náchod                                       ,5209,N,3605
3771,Náměšť nad Oslavou,6107,N,3710
3451,Nepomuk,3207,N,3406
3251,Neratovice,2117,N,3206
3641,Nová Paka                                    ,5210,N,3604
3791,Nové Město na Moravě,6108,N,3714
3647,Nové Město nad Metují                        ,5211,N,3605
3525,Nový Bor                                     ,5106,N,3501
3630,Nový Bydžov                                  ,5212,N,3602
3804,Nový Jičín                                   ,8115,N,3804
3208,Nymburk,2118,N,3208
3456,Nýřany,3208,N,3407
3843,Odry                                         ,8116,N,3804
3805,Olomouc                                      ,7107,N,3805
7,Olomoucký kraj                               ,,K,3805
3806,Opava                                        ,8117,N,3806
3838,Orlová                                       ,8118,N,3803
3855,Ostrava                                      ,8119,N,3807
3435,Ostrov                                       ,4106,N,3403
3746,Otrokovice,7205,N,3705
3341,Pacov,6109,N,3304
3606,Pardubice,5309,N,3606
8,Pardubický kraj                              ,,K,3606
3304,Pelhřimov,6110,N,3304
3305,Písek                                        ,3108,N,3305
3445,Plzeň,3209,N,3405
9,Plzeňský kraj                                ,,K,3405
3555,Podbořany,4210,N,3507
3261,Poděbrady,2119,N,3208
3742,Pohořelice                                   ,6213,N,3703
3667,Polička,5310,N,3609
3100,Praha,,D,3100
3101,Praha 1,1101,P,3101
3110,Praha 10,1110,P,3110
3111,Praha 11                                     ,1111,P,3104
3112,Praha 12                                     ,1112,P,3104
3113,Praha 13                                     ,1113,P,3105
3114,Praha 14                                     ,1114,P,3109
3115,Praha 15                                     ,1115,P,3110
3116,Praha 16                                     ,1116,P,3105
3117,Praha 17                                     ,1117,P,3106
3118,Praha 18                                     ,1118,P,3109
3119,Praha 19                                     ,1119,P,3109
3102,Praha 2,1102,P,3102
3120,Praha 20                                     ,1120,P,3109
3121,Praha 21                                     ,1121,P,3109
3122,Praha 22,1122,P,3110
3103,Praha 3,1103,P,3103
3104,Praha 4,1104,P,3104
3105,Praha 5,1105,P,3105
3106,Praha 6,1106,P,3106
3107,Praha 7,1107,P,3107
3108,Praha 8,1108,P,3108
3109,Praha 9,1109,P,3109
3306,Prachatice                                   ,3109,N,3306
3709,Prostějov                                    ,7108,N,3709
3651,Přelouč,5311,N,3606
3808,Přerov                                       ,7109,N,3808
3452,Přeštice,3210,N,3406
3211,Příbram,2120,N,3211
3212,Rakovník,2121,N,3212
3408,Rokycany,3211,N,3408
3737,Rosice                                       ,6214,N,3703
3551,Roudnice nad Labem,4211,N,3506
3870,Rožnov pod Radhoštěm,7206,N,3810
3530,Rumburk,4212,N,3502
3607,Rychnov nad Kněžnou                          ,5213,N,3607
3826,Rýmařov                                      ,8120,N,3801
3266,Říčany,2122,N,3209
3276,Sedlčany,2123,N,3211
3608,Semily                                       ,5107,N,3608
3235,Slaný,2124,N,3203
3781,Slavkov u Brna                               ,6215,N,3712
3360,Soběslav                                     ,3110,N,3308
3409,Sokolov                                      ,4107,N,3409
3453,Stod,3212,N,3406
3307,Strakonice                                   ,3111,N,3307
10,Středočeský kraj                             ,,K,3101
3470,Stříbro,3213,N,3410
3441,Sušice,3214,N,3404
3626,Světlá nad Sázavou,6111,N,3601
3609,Svitavy,5312,N,3609
3738,Šlapanice                                    ,6216,N,3703
3846,Šternberk                                    ,7110,N,3805
3809,Šumperk                                      ,7111,N,3809
3410,Tachov,3215,N,3410
3540,Tanvald                                      ,5108,N,3504
3308,Tábor                                        ,3112,N,3308
3755,Telč,6112,N,3707
3509,Teplice,4213,N,3509
3739,Tišnov                                       ,6217,N,3703
3325,Trhové Sviny                                 ,3113,N,3301
3610,Trutnov                                      ,5214,N,3610
3710,Třebíč,6113,N,3710
3336,Třeboň                                       ,3114,N,3303
3832,Třinec                                       ,8121,N,3802
3661,Turnov                                       ,5109,N,3608
3326,Týn nad Vltavou                              ,3115,N,3301
3711,Uherské Hradiště,7207,N,3711
3775,Uherský Brod,7208,N,3711
3847,Uničov                                       ,7112,N,3805
11,Ústecký kraj                                 ,,K,3510
3510,Ústí nad Labem,4214,N,3510
3611,Ústí nad Orlicí,5313,N,3611
3747,Valašské Klobouky,7209,N,3705
3871,Valašské Meziříčí,7210,N,3810
3531,Varnsdorf,4215,N,3502
3792,Velké Meziříčí,6114,N,3714
3751,Veselí nad Moravou                           ,6218,N,3706
3350,Vimperk                                      ,3116,N,3306
3748,Vizovice,7211,N,3705
3852,Vítkov                                       ,8122,N,3806
3225,Vlašim,2125,N,3201
3356,Vodňany                                      ,3117,N,3307
3226,Votice,2126,N,3201
3671,Vrchlabí,5215,N,3610
3810,Vsetín,7212,N,3810
12,Vysočina kraj                                ,,K,3707
3678,Vysoké Mýto,5314,N,3611
3712,Vyškov                                       ,6219,N,3712
10278,zú Winnipeg                                  ,,Z,0
10287,zÚ Dortmund                                  ,,Z,0
